BOOKNAME|AUTHOR|PUBLICATIONDATE|GENRE|NUMBEROFPAGES|ISBN|LANGUAGE|AMOUNTINSTOCK|ISREQUESTED
Enemy Of The Orbit|Kellye Kummer|1814-12-14|HUMOR|1362|978-4-9195-8902-3|Yue Chinese|6|Yes
Army With Four Eyes|Fernanda Sines|2015-05-25|ADVENTURE|143|978-5-5154-5376-3|Spanish|6|No
Recruits With Tentacles|Bruce Bethel|1925-03-06|CHILDREN|599|978-8-7272-3057-3|Turkish|18|No
Cyborgs Of Our Legacy|Kaylee Krone|1991-07-28|FANTASY|101|978-3-2100-2874-3|Turkish|6|Yes
Defenders And Clones|Lowell Trombetta|1802-06-25|HORROR|1581|978-0-5675-1602-2|Marathi|5|No
Children And Rebels|Slyvia Bohon|2016-03-03|HUMOR|336|978-2-6057-2555-7|Telugu|5|No
Statue Of The Sun|Lorina Schroeder|1924-10-18|NON FICTION|295|978-6-9430-8919-7|German|5|Yes
Appearance Of The New World|Corine Kearse|1881-05-18|NON FICTION|668|978-5-4154-8936-7|Yue Chinese|5|No
Gift Of Space Flight|Lela Bold|1900-03-15|ADVENTURE|1319|978-3-9447-3240-4|English|20|Yes
Frozen By The Moon|Kaley Wetherington|1839-05-02|HORROR|1372|978-3-1977-6325-5|Western Punjabi|12|Yes
Fish With Tradition|Trista Tirrell|1972-05-17|DRAMA|1942|978-1-2008-8594-9|Telugu|18|Yes
Moons Of The Oceans|Lilia Yung|1833-08-08|HORROR|969|978-4-9033-6292-2|English|9|Yes
Trees Without Borders|Adalberto Danko|1873-03-29|MYSTERY|358|978-2-3299-3691-8|Spanish|5|No
Predators Of The Depths|Tawny Diego|1846-05-02|DRAMA|1573|978-6-2725-9444-7|Wu Chinese|3|Yes
Preys And Queens|Niesha Neely|1928-12-01|HUMOR|914|978-9-0395-4435-8|English|9|Yes
Rats And Men|Lottie Yokota|1865-09-24|CHILDREN|1470|978-5-7779-6241-6|Tamil|18|Yes
Prophets Of The Decade|Korey Silverio|1945-02-10|MYSTERY|454|978-3-7375-4957-8|Spanish|20|Yes
Traditions Of Your Dreams|Sheba Beverlin|1865-05-21|ADVENTURE|197|978-6-4722-7222-0|Marathi|18|Yes
Love Of The Forest|Raylene Raasch|2006-04-02|MYSTERY|231|978-9-5344-9437-0|Russian|9|No
Expert The Lands|Lera Houchens|2017-07-10|FANTASY|453|978-7-1985-6119-3|Portuguese|12|Yes
Horse Of An Asteroid|Kate Kelton|1802-09-03|HUMOR|1486|978-4-0107-0366-3|Vietnamese|1|No
Owl Of A Man|Carleen Petillo|2018-04-11|FICTION|872|978-7-9022-1116-1|Russian|7|Yes
Warriors Of A Star|Armida Awad|1859-01-09|FANTASY|1331|978-6-8764-9092-3|French|7|Yes
Blacksmiths Of The Ocean|Regan Lautenschlage|1855-12-03|CHILDREN|1562|978-1-7560-0893-9|Urdu|18|Yes
Heirs And Knights|Krysten Stefano|1834-07-19|ADVENTURE|1514|978-5-7704-3043-1|Telugu|4|Yes
Gods And Slaves|Lael Bellefeuille|1908-09-15|HORROR|1166|978-6-3701-9612-3|Telugu|8|Yes
Question Of The Galaxy|Reid Marko|1898-11-26|HORROR|1873|978-8-2337-0101-7|Spanish|5|No
Map In My Town|Maude Hebert|1992-03-01|HORROR|1370|978-6-1054-8374-0|Portuguese|20|Yes
Alarmed By The Caves|Rashida Levey|1967-10-01|HUMOR|444|978-6-5276-4450-7|Tamil|7|No
Blinded By The End|Winfred Pumphrey|1923-01-06|MYSTERY|1676|978-5-2515-1714-9|Turkish|12|Yes
Dog Of Humor|Karolyn Leland|1956-03-19|MYSTERY|1340|978-0-2821-4974-1|Mandarin Ch|17|Yes
Doctor With Big Eyes|Quiana Quist|2002-11-15|CHILDREN|243|978-0-2097-0984-3|Japanese|18|Yes
Girl Of The Village|Regan Lautenschlage|2012-10-15|FICTION|1969|978-4-0586-1804-2|Mandarin Ch|4|No
Raven With A Hat|Shayna Marrin|1854-05-29|FICTION|1347|978-0-6146-1222-6|English|1|No
Foreigner And Officer|Rubie Rudy|2004-03-04|NON FICTION|50|978-0-5799-8197-9|Urdu|11|No
Mime And Clown|Mayra Mulhern|1953-04-04|NON FICTION|1005|978-6-0442-4077-0|Hindi|6|Yes
Smoke Secret|Barbar Yohe|1974-05-10|HORROR|768|978-3-1732-3782-4|Russian|10|No
Ignorance Exploit|Lynette Laughlin|1978-07-17|DRAMA|1312|978-0-3264-9872-9|German|1|Yes
Weight Of Water|Josette Meares|1813-05-02|SCIENCE FIC|862|978-5-8852-9348-8|Tamil|6|Yes
Bliss Of The Pants|Hung Burlison|2006-02-24|CHILDREN|1036|978-8-0027-3385-0|Mandarin Ch|5|No
Teacher On The Ceiling|Jonnie Donald|1981-04-05|SCIENCE FIC|984|978-9-6122-7879-3|Hindi|19|Yes
Girl Of The Void|Marlana Meinke|1916-05-06|ADVENTURE|621|978-4-2896-5653-0|German|9|No
Phantoms During Full Moon|Genevive Gade|1995-02-01|MYSTERY|607|978-3-5503-9506-2|Wu Chinese|17|Yes
Hunters Blinking Twice|Kaylee Krone|1850-05-17|HORROR|321|978-3-5017-1666-3|Western Punjabi|13|No
Cooks And Imps|Marchelle Morales|1808-04-20|FANTASY|1307|978-7-1457-4338-2|Marathi|16|No
Humans And Fiends|Tillie Coca|1950-04-14|FICTION|176|978-1-7561-5471-1|Russian|14|No
Bodies In The Mountain|Josette Meares|1983-04-21|NON FICTION|374|978-2-7686-2681-4|Korean|8|Yes
Growls In The Museum|Chang Christman|1968-06-06|FANTASY|132|978-0-3458-6101-6|Yue Chinese|5|No
Wicked Until My Past|Clark Tarnowski|1880-12-16|DRAMA|801|978-9-5701-7764-0|Spanish|13|Yes
Anguished By The Hills|Austin Arter|1843-12-28|FANTASY|780|978-3-2575-5000-9|Urdu|20|Yes
Mouse Of My Dreams|Lisandra Logsdon|1860-04-20|CHILDREN|445|978-7-8999-7991-4|German|14|No
Protector Of The End|Conrad Chavous|1956-12-21|FANTASY|543|978-9-0873-5526-5|French|1|Yes
Ghosts Of Fire|Johnathon Paulo|1836-11-02|MYSTERY|552|978-0-6435-0867-5|Yue Chinese|13|Yes
Wolves Of The Ancestors|Sixta Sankey|1876-08-24|CHILDREN|854|978-2-2598-5472-6|Korean|4|No
Nymphs And Boys|Kortney Ruffner|1937-09-21|SCIENCE FIC|1804|978-4-4572-8687-3|Japanese|3|Yes
Creators And Kings|Krystle Koff|1918-04-23|FANTASY|1232|978-5-9801-0421-4|Mandarin Ch|20|No
Death Of Doom|Zada Berends|1942-02-08|CHILDREN|1508|978-0-5875-5169-0|English|20|No
Crossbow Of Despair|Cythia Stroman|1944-09-07|FICTION|233|978-8-3379-2743-6|Russian|20|No
Sounds In The Fog|Yetta Leyendecker|1875-11-11|FANTASY|68|978-0-9145-4719-8|Korean|13|Yes
Bravery At The Castle|Sixta Sankey|1987-08-19|FICTION|458|978-9-0892-1446-1|Marathi|12|No
Witch Of The Frontline|Huey Fabre|1956-08-19|CHILDREN|220|978-1-6937-1730-7|Spanish|5|Yes
Opponent Without Faith|Meredith Sedor|1840-11-15|NON FICTION|1396|978-8-3740-2627-7|Marathi|9|No
Couriers Without Sin|Hillary Her|1926-06-11|SCIENCE FIC|644|978-7-2593-8887-5|Hindi|20|Yes
Warriors Of The Lost Ones|Rachel Kite|1921-03-30|HUMOR|1181|978-2-9937-8148-7|Turkish|13|No
Inventors And Children|Betty Lomanto|1915-04-17|NON FICTION|1998|978-7-7772-0047-5|Hindi|12|Yes
Couriers And Witches|Tricia Henriquez|1895-10-06|HUMOR|952|978-9-2200-9011-4|Telugu|2|Yes
Result Of Stone|Fermina Bowie|2006-05-11|FICTION|904|978-7-5047-7245-9|Hindi|20|No
Element With Wings|Enid Eckler|1961-03-09|FICTION|1003|978-9-8086-2484-7|Wu Chinese|16|No
Pray For My Future|Violet Viernes|1867-07-24|SCIENCE FIC|1829|978-3-5964-8529-1|Korean|14|No
Smiles In The Elements|Janine Jurek|1822-10-23|FICTION|1842|978-6-7219-6986-4|Yue Chinese|16|Yes
Cat Of Fire|Karlyn Bedwell|1807-06-02|DRAMA|1835|978-7-2373-1521-3|Mandarin Ch|9|No
Girl Of Wonder|Allyson Bemis|1868-02-15|DRAMA|360|978-2-5637-6658-6|Urdu|17|Yes
Owls Of Fantasia|Torrie Oesterling|1864-11-09|CHILDREN|516|978-6-8855-6236-9|Bengali|19|Yes
Goats Of Yesterday|Williemae Humes|1803-05-09|HUMOR|596|978-7-6237-1103-2|Hindi|17|No
Ghosts And Rabbits|Lela Bold|1960-07-06|NON FICTION|1201|978-2-7195-2583-8|Western Punjabi|13|Yes
Dragons And Owls|Kortney Ruffner|1979-10-02|FANTASY|670|978-0-6436-6014-4|German|6|No
Airplane Of Gold|Tabatha Thornley|1835-04-08|ADVENTURE|938|978-7-2168-3981-5|German|4|No
Light In Space|Yoko Yother|1988-02-19|DRAMA|1714|978-5-9522-9370-0|French|13|No
A Day With Sticks|Deonna Aaronson|1921-04-30|DRAMA|1947|978-9-4004-5186-5|French|10|Yes
Brave At My Town|Joey Jones|1998-04-20|SCIENCE FIC|23|978-1-2320-7928-6|Russian|2|Yes
Parrot Of The Solstice|Marcelle Delara|1910-05-22|DRAMA|1107|978-0-6667-7908-3|English|13|No
Defender With Honor|Les Lasher|1874-08-20|ADVENTURE|1930|978-5-7309-9905-3|Vietnamese|5|Yes
Serpents Without Hate|Brunilda Cobian|1926-10-26|FICTION|406|978-7-1078-7681-3|Bengali|10|No
Lions Of Dawn|Lorine Lando|1820-10-27|HORROR|1890|978-8-6167-0754-4|Spanish|20|No
Heirs And Invaders|Van Mcalister|1803-04-04|MYSTERY|352|978-6-6004-3273-1|Marathi|17|No
Horses And Invaders|Toney Creek|1953-04-15|ADVENTURE|567|978-2-0358-4492-7|German|2|Yes
